ANO_LETIVO,CODIGO_CIE,CODIGO_INEP,CodigoDiretoria,NomeDiretoria,NomeEscola,NomeMunicipio,ANOS_INICIAIS,ANOS_FINAIS,ENSINO_MÉDIO
2023,498452,35498452,20403,BRAGANCA PAULISTA,JULIO CESAR FLORIDO RAFAELI PROFESSOR,ATIBAIA,,2,1.37
2023,499043,35499043,20403,BRAGANCA PAULISTA,PROFESSORA MARIA ELOIZA PINHEIRO RAMOS,NAZARE PAULISTA,,2,1.3
2023,518591,35518591,20308,SOROCABA,MARIA ONDINA ANDRADE PROF?,SOROCABA,,3,2.22
2023,558643,35558643,20602,JAU,MARIA DE CAMPOS PIRES MACIEL PROFESSORA,PEDERNEIRAS,,2,2.5
2023,560510,35560510,20308,SOROCABA,GERALDO DO ESPIRITO SANTO FOGACA DE ALMEIDA,SOROCABA,,3,2.6
2023,561009,35561009,10403,GUARULHOS NORTE,JARDIM SANTA TEREZINHA,GUARULHOS,,2,1.51
2023,561010,35561010,20602,JAU,PROFA CLEOMAR DE BARROS CASTILHO MARQUES,JAU,,2,2.31
2023,561411,35561411,20404,CAMPINAS OESTE,JARDIM MARISA,CAMPINAS,2,,1.33
2023,563043,35563043,20310,VOTORANTIM,BAIRRO JUNDIAQUARA,ARACOIABA DA SERRA,,,2.15
2023,563146,35563146,20417,CAMPINAS LESTE,ADRIANA CARDOSO PROFESSORA,CAMPINAS,5,,2.4
2023,564680,35564680,20403,BRAGANCA PAULISTA,JO?O ERNESTO DE ALMEIDA VANNI,BRAGANCA PAULISTA,,2,1.56
2023,564953,35564953,20308,SOROCABA,MARIA HELENA GAZZI BONADIO PROFESSORA,SOROCABA,,3,1.67
2023,564990,35564990,20417,CAMPINAS LESTE,BERNARDO CARO,CAMPINAS,5,,1.82
2023,565039,35565039,20904,PRESIDENTE PRUDENTE,ORACY MATRICARDI PROF,PRESIDENTE PRUDENTE,,3,2.17
2023,565040,35565040,21004,OURINHOS,PROFESSOR PEDRO ANTONIO FERRAZ DE ANDRADE,OURINHOS,,,2.01
2023,565052,35565052,20710,SAO JOSE DO RIO PRETO,PARQUE DAS AROEIRAS II,SAO JOSE DO RIO PRETO,,2,1.47
2023,565064,35565064,20710,SAO JOSE DO RIO PRETO,PARQUE NOVA ESPERANCA,SAO JOSE DO RIO PRETO,,2,
2023,565696,35565696,20601,BAURU,PROFA MARIA EUNICE BORGES DE MIRANDA REIS,BAURU,,2,2.77
2023,565805,35565805,20409,MOGI MIRIM,PROFESSORA MARIA DE LOURDES LIMA,CONCHAL,,3,
2023,566020,35566020,10317,SUL 1,WALTER LERNER PROFESSOR,SAO PAULO,3,,
2023,566032,35566032,20302,AVARE,ASSENTAMENTO ZUMBI DOS PALMARES,IARAS,,,
2023,566202,35566202,10706,TABOAO DA SERRA,JO?O LUIZ DE OLIVEIRA PROFESSOR,EMBU DAS ARTES,,2,
2023,566780,35566780,20507,RIBEIRAO PRETO,DEPUTADO ANTONIO CALIXTO,RIBEIRAO PRETO,2,,
2023,566846,35566846,20206,TAUBATE,PROFESSORA LUCIANA DAMAS BEZERRA,CACAPAVA,,2,2.44
2023,576475,35576475,20507,RIBEIRAO PRETO,JOVEM FELIPE GUI ROCHA,RIBEIRAO PRETO,4,,2.29
